Potential Energy , -0.5 , Kinetic Energy , 0.25 , Total Energy , -0.25, Delta Energy , 0, Time , 0
Potential Energy , -0.499042 , Kinetic Energy , 0.249058 , Total Energy , -0.249984, Delta Energy , -1.56026e-05, Time , 1
Potential Energy , -0.496437 , Kinetic Energy , 0.246494 , Total Energy , -0.249943, Delta Energy , -5.70968e-05, Time , 2
Potential Energy , -0.492892 , Kinetic Energy , 0.243004 , Total Energy , -0.249889, Delta Energy , -0.000111451, Time , 3
Potential Energy , -0.489307 , Kinetic Energy , 0.239471 , Total Energy , -0.249836, Delta Energy , -0.000164014, Time , 4
Potential Energy , -0.486523 , Kinetic Energy , 0.236726 , Total Energy , -0.249797, Delta Energy , -0.00020323, Time , 5
Potential Energy , -0.485144 , Kinetic Energy , 0.235366 , Total Energy , -0.249778, Delta Energy , -0.000222138, Time , 6
Potential Energy , -0.485456 , Kinetic Energy , 0.235674 , Total Energy , -0.249782, Delta Energy , -0.000217887, Time , 7
Potential Energy , -0.487395 , Kinetic Energy , 0.237586 , Total Energy , -0.249809, Delta Energy , -0.00019109, Time , 8
Potential Energy , -0.490555 , Kinetic Energy , 0.240701 , Total Energy , -0.249854, Delta Energy , -0.000145989, Time , 9
Potential Energy , -0.49423 , Kinetic Energy , 0.244322 , Total Energy , -0.249909, Delta Energy , -9.12146e-05, Time , 10
Potential Energy , -0.497534 , Kinetic Energy , 0.247574 , Total Energy , -0.24996, Delta Energy , -3.97833e-05, Time , 11
Potential Energy , -0.499605 , Kinetic Energy , 0.249611 , Total Energy , -0.249994, Delta Energy , -6.45478e-06, Time , 12
Potential Energy , -0.499871 , Kinetic Energy , 0.249873 , Total Energy , -0.249998, Delta Energy , -2.10584e-06, Time , 13
Potential Energy , -0.498258 , Kinetic Energy , 0.248286 , Total Energy , -0.249972, Delta Energy , -2.82318e-05, Time , 14
Potential Energy , -0.495215 , Kinetic Energy , 0.245291 , Total Energy , -0.249924, Delta Energy , -7.61136e-05, Time , 15
Potential Energy , -0.49155 , Kinetic Energy , 0.241681 , Total Energy , -0.249869, Delta Energy , -0.000131417, Time , 16
Potential Energy , -0.488167 , Kinetic Energy , 0.238347 , Total Energy , -0.24982, Delta Energy , -0.000180239, Time , 17
Potential Energy , -0.485838 , Kinetic Energy , 0.236051 , Total Energy , -0.249787, Delta Energy , -0.000212661, Time , 18
Potential Energy , -0.485057 , Kinetic Energy , 0.235281 , Total Energy , -0.249777, Delta Energy , -0.000223312, Time , 19
Potential Energy , -0.485985 , Kinetic Energy , 0.236196 , Total Energy , -0.249789, Delta Energy , -0.000210639, Time , 20
Potential Energy , -0.488431 , Kinetic Energy , 0.238608 , Total Energy , -0.249823, Delta Energy , -0.000176502, Time , 21
Potential Energy , -0.491872 , Kinetic Energy , 0.241999 , Total Energy , -0.249873, Delta Energy , -0.000126647, Time , 22
Potential Energy , -0.49552 , Kinetic Energy , 0.245591 , Total Energy , -0.249929, Delta Energy , -7.1397e-05, Time , 23
Potential Energy , -0.498466 , Kinetic Energy , 0.248491 , Total Energy , -0.249975, Delta Energy , -2.48862e-05, Time , 24
Potential Energy , -0.499926 , Kinetic Energy , 0.249927 , Total Energy , -0.249999, Delta Energy , -1.21237e-06, Time , 25
Potential Energy , -0.49949 , Kinetic Energy , 0.249499 , Total Energy , -0.249992, Delta Energy , -8.32281e-06, Time , 26
Potential Energy , -0.497283 , Kinetic Energy , 0.247326 , Total Energy , -0.249956, Delta Energy , -4.37759e-05, Time , 27
Potential Energy , -0.49391 , Kinetic Energy , 0.244006 , Total Energy , -0.249904, Delta Energy , -9.6098e-05, Time , 28
Potential Energy , -0.490245 , Kinetic Energy , 0.240396 , Total Energy , -0.24985, Delta Energy , -0.00015049, Time , 29
Potential Energy , -0.487168 , Kinetic Energy , 0.237362 , Total Energy , -0.249806, Delta Energy , -0.000194262, Time , 30
Potential Energy , -0.48536 , Kinetic Energy , 0.235579 , Total Energy , -0.249781, Delta Energy , -0.000219194, Time , 31
Potential Energy , -0.485199 , Kinetic Energy , 0.23542 , Total Energy , -0.249779, Delta Energy , -0.00022139, Time , 32
Potential Energy , -0.486717 , Kinetic Energy , 0.236918 , Total Energy , -0.249799, Delta Energy , -0.000200533, Time , 33
Potential Energy , -0.489601 , Kinetic Energy , 0.23976 , Total Energy , -0.24984, Delta Energy , -0.000159802, Time , 34
Potential Energy , -0.493218 , Kinetic Energy , 0.243325 , Total Energy , -0.249893, Delta Energy , -0.000106555, Time , 35
Potential Energy , -0.496716 , Kinetic Energy , 0.246768 , Total Energy , -0.249947, Delta Energy , -5.27249e-05, Time , 36
Potential Energy , -0.499199 , Kinetic Energy , 0.249212 , Total Energy , -0.249987, Delta Energy , -1.30519e-05, Time , 37
Potential Energy , -0.499992 , Kinetic Energy , 0.249993 , Total Energy , -0.25, Delta Energy , -1.23677e-07, Time , 38
Potential Energy , -0.498872 , Kinetic Energy , 0.24889 , Total Energy , -0.249982, Delta Energy , -1.83576e-05, Time , 39
Potential Energy , -0.496151 , Kinetic Energy , 0.246213 , Total Energy , -0.249938, Delta Energy , -6.15683e-05, Time , 40
Potential Energy , -0.492566 , Kinetic Energy , 0.242683 , Total Energy , -0.249884, Delta Energy , -0.00011633, Time , 41
Potential Energy , -0.48902 , Kinetic Energy , 0.239188 , Total Energy , -0.249832, Delta Energy , -0.00016812, Time , 42
Potential Energy , -0.486339 , Kinetic Energy , 0.236545 , Total Energy , -0.249794, Delta Energy , -0.000205768, Time , 43
Potential Energy , -0.485102 , Kinetic Energy , 0.235325 , Total Energy , -0.249777, Delta Energy , -0.000222706, Time , 44
Potential Energy , -0.485564 , Kinetic Energy , 0.235781 , Total Energy , -0.249784, Delta Energy , -0.000216404, Time , 45
Potential Energy , -0.487632 , Kinetic Energy , 0.23782 , Total Energy , -0.249812, Delta Energy , -0.000187775, Time , 46
Potential Energy , -0.490869 , Kinetic Energy , 0.24101 , Total Energy , -0.249859, Delta Energy , -0.000141411, Time , 47
Potential Energy , -0.494549 , Kinetic Energy , 0.244635 , Total Energy , -0.249914, Delta Energy , -8.63555e-05, Time , 48
Potential Energy , -0.497776 , Kinetic Energy , 0.247812 , Total Energy , -0.249964, Delta Energy , -3.59324e-05, Time , 49
Potential Energy , -0.499705 , Kinetic Energy , 0.24971 , Total Energy , -0.249995, Delta Energy , -4.81607e-06, Time , 50
Potential Energy , -0.499802 , Kinetic Energy , 0.249805 , Total Energy , -0.249997, Delta Energy , -3.24074e-06, Time , 51
Potential Energy , -0.498038 , Kinetic Energy , 0.24807 , Total Energy , -0.249968, Delta Energy , -3.17484e-05, Time , 52
Potential Energy , -0.494905 , Kinetic Energy , 0.244986 , Total Energy , -0.249919, Delta Energy , -8.08867e-05, Time , 53
Potential Energy , -0.491229 , Kinetic Energy , 0.241365 , Total Energy , -0.249864, Delta Energy , -0.000136135, Time , 54
Potential Energy , -0.487911 , Kinetic Energy , 0.238095 , Total Energy , -0.249816, Delta Energy , -0.000183846, Time , 55
Potential Energy , -0.485703 , Kinetic Energy , 0.235917 , Total Energy , -0.249785, Delta Energy , -0.000214512, Time , 56
Potential Energy , -0.485071 , Kinetic Energy , 0.235294 , Total Energy , -0.249777, Delta Energy , -0.000223131, Time , 57
Potential Energy , -0.486144 , Kinetic Energy , 0.236353 , Total Energy , -0.249792, Delta Energy , -0.00020845, Time , 58
Potential Energy , -0.488703 , Kinetic Energy , 0.238876 , Total Energy , -0.249827, Delta Energy , -0.000172642, Time , 59
Potential Energy , -0.492197 , Kinetic Energy , 0.242319 , Total Energy , -0.249878, Delta Energy , -0.000121833, Time , 60
Potential Energy , -0.495819 , Kinetic Energy , 0.245886 , Total Energy , -0.249933, Delta Energy , -6.67475e-05, Time , 61
Potential Energy , -0.498663 , Kinetic Energy , 0.248685 , Total Energy , -0.249978, Delta Energy , -2.17203e-05, Time , 62
Potential Energy , -0.499966 , Kinetic Energy , 0.249966 , Total Energy , -0.249999, Delta Energy , -5.62844e-07, Time , 63
Potential Energy , -0.499362 , Kinetic Energy , 0.249372 , Total Energy , -0.24999, Delta Energy , -1.0415e-05, Time , 64
Potential Energy , -0.497022 , Kinetic Energy , 0.24707 , Total Energy , -0.249952, Delta Energy , -4.79003e-05, Time , 65
Potential Energy , -0.493586 , Kinetic Energy , 0.243687 , Total Energy , -0.249899, Delta Energy , -0.000100996, Time , 66
Potential Energy , -0.48994 , Kinetic Energy , 0.240095 , Total Energy , -0.249845, Delta Energy , -0.000154905, Time , 67
Potential Energy , -0.486951 , Kinetic Energy , 0.237148 , Total Energy , -0.249803, Delta Energy , -0.000197287, Time , 68
Potential Energy , -0.485277 , Kinetic Energy , 0.235497 , Total Energy , -0.24978, Delta Energy , -0.000220324, Time , 69
Potential Energy , -0.485267 , Kinetic Energy , 0.235487 , Total Energy , -0.24978, Delta Energy , -0.000220462, Time , 70
Potential Energy , -0.486923 , Kinetic Energy , 0.23712 , Total Energy , -0.249802, Delta Energy , -0.000197681, Time , 71
Potential Energy , -0.4899 , Kinetic Energy , 0.240055 , Total Energy , -0.249845, Delta Energy , -0.000155491, Time , 72
Potential Energy , -0.493543 , Kinetic Energy , 0.243645 , Total Energy , -0.249898, Delta Energy , -0.000101653, Time , 73
Potential Energy , -0.496986 , Kinetic Energy , 0.247035 , Total Energy , -0.249952, Delta Energy , -4.84632e-05, Time , 74
Potential Energy , -0.499343 , Kinetic Energy , 0.249354 , Total Energy , -0.249989, Delta Energy , -1.07125e-05, Time , 75
Potential Energy , -0.49997 , Kinetic Energy , 0.24997 , Total Energy , -0.25, Delta Energy , -4.94359e-07, Time , 76
Potential Energy , -0.498689 , Kinetic Energy , 0.24871 , Total Energy , -0.249979, Delta Energy , -2.13096e-05, Time , 77
Potential Energy , -0.495859 , Kinetic Energy , 0.245925 , Total Energy , -0.249934, Delta Energy , -6.61292e-05, Time , 78
Potential Energy , -0.492241 , Kinetic Energy , 0.242362 , Total Energy , -0.249879, Delta Energy , -0.000121184, Time , 79
Potential Energy , -0.48874 , Kinetic Energy , 0.238912 , Total Energy , -0.249828, Delta Energy , -0.000172115, Time , 80
Potential Energy , -0.486167 , Kinetic Energy , 0.236375 , Total Energy , -0.249792, Delta Energy , -0.000208144, Time , 81
Potential Energy , -0.485073 , Kinetic Energy , 0.235297 , Total Energy , -0.249777, Delta Energy , -0.000223093, Time , 82
Potential Energy , -0.485686 , Kinetic Energy , 0.2359 , Total Energy , -0.249785, Delta Energy , -0.000214748, Time , 83
Potential Energy , -0.487878 , Kinetic Energy , 0.238062 , Total Energy , -0.249816, Delta Energy , -0.00018432, Time , 84
Potential Energy , -0.491186 , Kinetic Energy , 0.241323 , Total Energy , -0.249863, Delta Energy , -0.000136763, Time , 85
Potential Energy , -0.494863 , Kinetic Energy , 0.244945 , Total Energy , -0.249918, Delta Energy , -8.15309e-05, Time , 86
Potential Energy , -0.498008 , Kinetic Energy , 0.24804 , Total Energy , -0.249968, Delta Energy , -3.22328e-05, Time , 87
Potential Energy , -0.499791 , Kinetic Energy , 0.249795 , Total Energy , -0.249997, Delta Energy , -3.41123e-06, Time , 88
Potential Energy , -0.499718 , Kinetic Energy , 0.249722 , Total Energy , -0.249995, Delta Energy , -4.61389e-06, Time , 89
Potential Energy , -0.497808 , Kinetic Energy , 0.247843 , Total Energy , -0.249965, Delta Energy , -3.5427e-05, Time , 90
Potential Energy , -0.494591 , Kinetic Energy , 0.244677 , Total Energy , -0.249914, Delta Energy , -8.57059e-05, Time , 91
Potential Energy , -0.490911 , Kinetic Energy , 0.241052 , Total Energy , -0.249859, Delta Energy , -0.000140791, Time , 92
Potential Energy , -0.487664 , Kinetic Energy , 0.237852 , Total Energy , -0.249813, Delta Energy , -0.000187319, Time , 93
Potential Energy , -0.48558 , Kinetic Energy , 0.235796 , Total Energy , -0.249784, Delta Energy , -0.000216192, Time , 94
Potential Energy , -0.485097 , Kinetic Energy , 0.23532 , Total Energy , -0.249777, Delta Energy , -0.000222768, Time , 95
Potential Energy , -0.486315 , Kinetic Energy , 0.236521 , Total Energy , -0.249794, Delta Energy , -0.000206096, Time , 96
Potential Energy , -0.488982 , Kinetic Energy , 0.239151 , Total Energy , -0.249831, Delta Energy , -0.000168663, Time , 97
Potential Energy , -0.492523 , Kinetic Energy , 0.242639 , Total Energy , -0.249883, Delta Energy , -0.000116983, Time , 98
Potential Energy , -0.496113 , Kinetic Energy , 0.246175 , Total Energy , -0.249938, Delta Energy , -6.21754e-05, Time , 99
Potential Energy , -0.498848 , Kinetic Energy , 0.248866 , Total Energy , -0.249981, Delta Energy , -1.87425e-05, Time , 100
Potential Energy , -0.49999 , Kinetic Energy , 0.24999 , Total Energy , -0.25, Delta Energy , -1.59083e-07, Time , 101
Potential Energy , -0.499219 , Kinetic Energy , 0.249232 , Total Energy , -0.249987, Delta Energy , -1.27256e-05, Time , 102
Potential Energy , -0.496752 , Kinetic Energy , 0.246805 , Total Energy , -0.249948, Delta Energy , -5.21465e-05, Time , 103
Potential Energy , -0.493262 , Kinetic Energy , 0.243368 , Total Energy , -0.249894, Delta Energy , -0.000105898, Time , 104
Potential Energy , -0.48964 , Kinetic Energy , 0.2398 , Total Energy , -0.249841, Delta Energy , -0.000159229, Time , 105
Potential Energy , -0.486744 , Kinetic Energy , 0.236944 , Total Energy , -0.2498, Delta Energy , -0.000200159, Time , 106
Potential Energy , -0.485207 , Kinetic Energy , 0.235428 , Total Energy , -0.249779, Delta Energy , -0.000221275, Time , 107
Potential Energy , -0.485348 , Kinetic Energy , 0.235567 , Total Energy , -0.249781, Delta Energy , -0.000219356, Time , 108
Potential Energy , -0.487138 , Kinetic Energy , 0.237333 , Total Energy , -0.249805, Delta Energy , -0.000194677, Time , 109
Potential Energy , -0.490204 , Kinetic Energy , 0.240355 , Total Energy , -0.249849, Delta Energy , -0.000151087, Time , 110
Potential Energy , -0.493866 , Kinetic Energy , 0.243963 , Total Energy , -0.249903, Delta Energy , -9.67545e-05, Time , 111
Potential Energy , -0.497248 , Kinetic Energy , 0.247292 , Total Energy , -0.249956, Delta Energy , -4.43219e-05, Time , 112
Potential Energy , -0.499474 , Kinetic Energy , 0.249482 , Total Energy , -0.249991, Delta Energy , -8.59064e-06, Time , 113
Potential Energy , -0.499932 , Kinetic Energy , 0.249933 , Total Energy , -0.249999, Delta Energy , -1.111e-06, Time , 114
Potential Energy , -0.498493 , Kinetic Energy , 0.248518 , Total Energy , -0.249976, Delta Energy , -2.44508e-05, Time , 115
Potential Energy , -0.49556 , Kinetic Energy , 0.245631 , Total Energy , -0.249929, Delta Energy , -7.0769e-05, Time , 116
Potential Energy , -0.491916 , Kinetic Energy , 0.242042 , Total Energy , -0.249874, Delta Energy , -0.000126003, Time , 117
Potential Energy , -0.488467 , Kinetic Energy , 0.238643 , Total Energy , -0.249824, Delta Energy , -0.000175991, Time , 118
Potential Energy , -0.486006 , Kinetic Energy , 0.236216 , Total Energy , -0.24979, Delta Energy , -0.000210355, Time , 119
Potential Energy , -0.485058 , Kinetic Energy , 0.235282 , Total Energy , -0.249777, Delta Energy , -0.000223298, Time , 120
Potential Energy , -0.485819 , Kinetic Energy , 0.236032 , Total Energy , -0.249787, Delta Energy , -0.000212919, Time , 121
Potential Energy , -0.488132 , Kinetic Energy , 0.238313 , Total Energy , -0.249819, Delta Energy , -0.00018073, Time , 122
Potential Energy , -0.491506 , Kinetic Energy , 0.241638 , Total Energy , -0.249868, Delta Energy , -0.000132053, Time , 123
Potential Energy , -0.495173 , Kinetic Energy , 0.24525 , Total Energy , -0.249923, Delta Energy , -7.6751e-05, Time , 124
Potential Energy , -0.498229 , Kinetic Energy , 0.248258 , Total Energy , -0.249971, Delta Energy , -2.86939e-05, Time , 125
Potential Energy , -0.499863 , Kinetic Energy , 0.249865 , Total Energy , -0.249998, Delta Energy , -2.24416e-06, Time , 126
