Potential Energy , -189.767 , Kinetic Energy , 87.1 , Total Energy , -102.667, Delta Energy , 0, Time , 0
Potential Energy , -189.767 , Kinetic Energy , 87.0998 , Total Energy , -102.667, Delta Energy , -1.26903e-07, Time , 0.5
Potential Energy , -189.766 , Kinetic Energy , 87.099 , Total Energy , -102.667, Delta Energy , -5.05271e-07, Time , 1
Potential Energy , -189.765 , Kinetic Energy , 87.0979 , Total Energy , -102.667, Delta Energy , -1.12817e-06, Time , 1.5
Potential Energy , -189.763 , Kinetic Energy , 87.0962 , Total Energy , -102.667, Delta Energy , -1.98432e-06, Time , 2
Potential Energy , -189.761 , Kinetic Energy , 87.0941 , Total Energy , -102.667, Delta Energy , -3.05859e-06, Time , 2.5
Potential Energy , -189.758 , Kinetic Energy , 87.0915 , Total Energy , -102.667, Delta Energy , -4.33246e-06, Time , 3
Potential Energy , -189.755 , Kinetic Energy , 87.0885 , Total Energy , -102.667, Delta Energy , -5.78477e-06, Time , 3.5
Potential Energy , -189.752 , Kinetic Energy , 87.085 , Total Energy , -102.667, Delta Energy , -7.39237e-06, Time , 4
Potential Energy , -189.748 , Kinetic Energy , 87.0812 , Total Energy , -102.667, Delta Energy , -9.13091e-06, Time , 4.5
Potential Energy , -189.744 , Kinetic Energy , 87.0769 , Total Energy , -102.667, Delta Energy , -1.09755e-05, Time , 5
Potential Energy , -189.739 , Kinetic Energy , 87.0722 , Total Energy , -102.667, Delta Energy , -1.29015e-05, Time , 5.5
Potential Energy , -189.734 , Kinetic Energy , 87.0672 , Total Energy , -102.667, Delta Energy , -1.48848e-05, Time , 6
Potential Energy , -189.729 , Kinetic Energy , 87.0618 , Total Energy , -102.667, Delta Energy , -1.69029e-05, Time , 6.5
Potential Energy , -189.723 , Kinetic Energy , 87.0561 , Total Energy , -102.667, Delta Energy , -1.89346e-05, Time , 7
Potential Energy , -189.717 , Kinetic Energy , 87.05 , Total Energy , -102.667, Delta Energy , -2.09608e-05, Time , 7.5
Potential Energy , -189.71 , Kinetic Energy , 87.0437 , Total Energy , -102.667, Delta Energy , -2.29647e-05, Time , 8
Potential Energy , -189.704 , Kinetic Energy , 87.037 , Total Energy , -102.667, Delta Energy , -2.49314e-05, Time , 8.5
Potential Energy , -189.697 , Kinetic Energy , 87.0301 , Total Energy , -102.667, Delta Energy , -2.68484e-05, Time , 9
Potential Energy , -189.69 , Kinetic Energy , 87.0228 , Total Energy , -102.667, Delta Energy , -2.87056e-05, Time , 9.5
