Potential Energy , -285.757 , Kinetic Energy , 144.54 , Total Energy , -141.217, Delta Energy , 0, Time , 0, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 9.37916e-12, Time , 0.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.754 , Kinetic Energy , 144.537 , Total Energy , -141.217, Delta Energy , 3.9023e-11, Time , 1, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.751 , Kinetic Energy , 144.534 , Total Energy , -141.217, Delta Energy , 8.8761e-11, Time , 1.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.746 , Kinetic Energy , 144.529 , Total Energy , -141.217, Delta Energy , 1.57115e-10, Time , 2, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.74 , Kinetic Energy , 144.523 , Total Energy , -141.217, Delta Energy , 2.42608e-10, Time , 2.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.732 , Kinetic Energy , 144.516 , Total Energy , -141.217, Delta Energy , 3.43249e-10, Time , 3, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.724 , Kinetic Energy , 144.507 , Total Energy , -141.217, Delta Energy , 4.5705e-10, Time , 3.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.714 , Kinetic Energy , 144.497 , Total Energy , -141.217, Delta Energy , 5.81622e-10, Time , 4, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.703 , Kinetic Energy , 144.486 , Total Energy , -141.217, Delta Energy , 7.1455e-10, Time , 4.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.691 , Kinetic Energy , 144.474 , Total Energy , -141.217, Delta Energy , 8.53504e-10, Time , 5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.677 , Kinetic Energy , 144.46 , Total Energy , -141.217, Delta Energy , 9.96039e-10, Time , 5.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.662 , Kinetic Energy , 144.446 , Total Energy , -141.217, Delta Energy , 1.13994e-09, Time , 6, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.647 , Kinetic Energy , 144.43 , Total Energy , -141.217, Delta Energy , 1.28307e-09, Time , 6.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.63 , Kinetic Energy , 144.413 , Total Energy , -141.217, Delta Energy , 1.42376e-09, Time , 7, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.612 , Kinetic Energy , 144.396 , Total Energy , -141.217, Delta Energy , 1.56032e-09, Time , 7.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.594 , Kinetic Energy , 144.377 , Total Energy , -141.217, Delta Energy , 1.69118e-09, Time , 8, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.574 , Kinetic Energy , 144.357 , Total Energy , -141.217, Delta Energy , 1.81564e-09, Time , 8.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.553 , Kinetic Energy , 144.337 , Total Energy , -141.217, Delta Energy , 1.93265e-09, Time , 9, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.532 , Kinetic Energy , 144.315 , Total Energy , -141.217, Delta Energy , 2.04187e-09, Time , 9.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.51 , Kinetic Energy , 144.293 , Total Energy , -141.217, Delta Energy , 2.14277e-09, Time , 10, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.487 , Kinetic Energy , 144.27 , Total Energy , -141.217, Delta Energy , 2.23525e-09, Time , 10.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.463 , Kinetic Energy , 144.246 , Total Energy , -141.217, Delta Energy , 2.31935e-09, Time , 11, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.439 , Kinetic Energy , 144.222 , Total Energy , -141.217, Delta Energy , 2.39518e-09, Time , 11.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.414 , Kinetic Energy , 144.197 , Total Energy , -141.217, Delta Energy , 2.46311e-09, Time , 12, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.388 , Kinetic Energy , 144.171 , Total Energy , -141.217, Delta Energy , 2.52351e-09, Time , 12.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.362 , Kinetic Energy , 144.145 , Total Energy , -141.217, Delta Energy , 2.57688e-09, Time , 13, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.335 , Kinetic Energy , 144.118 , Total Energy , -141.217, Delta Energy , 2.62332e-09, Time , 13.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.308 , Kinetic Energy , 144.091 , Total Energy , -141.217, Delta Energy , 2.66365e-09, Time , 14, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.28 , Kinetic Energy , 144.063 , Total Energy , -141.217, Delta Energy , 2.69839e-09, Time , 14.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.252 , Kinetic Energy , 144.035 , Total Energy , -141.217, Delta Energy , 2.72814e-09, Time , 15, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.223 , Kinetic Energy , 144.006 , Total Energy , -141.217, Delta Energy , 2.75324e-09, Time , 15.5, Angular Momentum , 0.000000,0.000000,-95068.800000
