Potential Energy , -285.757 , Kinetic Energy , 144.54 , Total Energy , -141.217, Delta Energy , 0, Time , 0, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 0.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 1, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 1.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 2, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 2.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 3, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 3.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 4, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 4.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 5.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 6, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 6.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 7, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 7.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 8, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 8.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 9, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 9.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 10, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 10.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 11, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 11.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 12, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 12.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 13, Angular Momentum , 0.000000,0.000000,-95068.800000
