Potential Energy , -283.87 , Kinetic Energy , 144.36 , Total Energy , -139.51, Delta Energy , 0, Time , 0, Angular Momentum , 0.000000,0.000000,-94920.000000
Potential Energy , -283.864 , Kinetic Energy , 144.354 , Total Energy , -139.51, Delta Energy , 6.71214e-06, Time , 1, Angular Momentum , 0.000000,0.000000,-94919.999238
Potential Energy , -283.847 , Kinetic Energy , 144.337 , Total Energy , -139.51, Delta Energy , 2.50857e-05, Time , 2, Angular Momentum , 0.000000,0.000000,-94919.997148
Potential Energy , -283.82 , Kinetic Energy , 144.31 , Total Energy , -139.51, Delta Energy , 3.74428e-05, Time , 3, Angular Momentum , 0.000000,0.000000,-94919.997092
Potential Energy , -283.785 , Kinetic Energy , 144.275 , Total Energy , -139.51, Delta Energy , 5.03492e-05, Time , 4, Angular Momentum , 0.000000,0.000000,-94919.997014
Potential Energy , -283.743 , Kinetic Energy , 144.233 , Total Energy , -139.51, Delta Energy , 6.16962e-05, Time , 5, Angular Momentum , 0.000000,0.000000,-94919.996914
Potential Energy , -283.696 , Kinetic Energy , 144.186 , Total Energy , -139.51, Delta Energy , 7.04053e-05, Time , 6, Angular Momentum , 0.000000,0.000000,-94919.996792
Potential Energy , -283.646 , Kinetic Energy , 144.136 , Total Energy , -139.51, Delta Energy , 7.62996e-05, Time , 7, Angular Momentum , 0.000000,0.000000,-94919.996648
Potential Energy , -283.593 , Kinetic Energy , 144.084 , Total Energy , -139.51, Delta Energy , 7.97529e-05, Time , 8, Angular Momentum , 0.000000,0.000000,-94919.996484
Potential Energy , -283.539 , Kinetic Energy , 144.029 , Total Energy , -139.51, Delta Energy , 8.13576e-05, Time , 9, Angular Momentum , 0.000000,0.000000,-94919.996298
Potential Energy , -283.484 , Kinetic Energy , 143.974 , Total Energy , -139.51, Delta Energy , 8.17105e-05, Time , 10, Angular Momentum , 0.000000,0.000000,-94919.996092
Potential Energy , -283.428 , Kinetic Energy , 143.918 , Total Energy , -139.51, Delta Energy , 8.13103e-05, Time , 11, Angular Momentum , 0.000000,0.000000,-94919.995867
Potential Energy , -283.371 , Kinetic Energy , 143.861 , Total Energy , -139.51, Delta Energy , 8.05301e-05, Time , 12, Angular Momentum , 0.000000,0.000000,-94919.995621
Potential Energy , -283.313 , Kinetic Energy , 143.804 , Total Energy , -139.51, Delta Energy , 7.96278e-05, Time , 13, Angular Momentum , 0.000000,0.000000,-94919.995357
Potential Energy , -283.256 , Kinetic Energy , 143.746 , Total Energy , -139.51, Delta Energy , 7.87692e-05, Time , 14, Angular Momentum , 0.000000,0.000000,-94919.995075
Potential Energy , -283.197 , Kinetic Energy , 143.687 , Total Energy , -139.51, Delta Energy , 7.80529e-05, Time , 15, Angular Momentum , 0.000000,0.000000,-94919.994775
Potential Energy , -283.138 , Kinetic Energy , 143.629 , Total Energy , -139.51, Delta Energy , 7.75312e-05, Time , 16, Angular Momentum , 0.000000,0.000000,-94919.994458
Potential Energy , -283.079 , Kinetic Energy , 143.569 , Total Energy , -139.51, Delta Energy , 8.47255e-05, Time , 17, Angular Momentum , 0.000000,0.000000,-94919.993726
Potential Energy , -283.02 , Kinetic Energy , 143.51 , Total Energy , -139.51, Delta Energy , 9.15342e-05, Time , 18, Angular Momentum , 0.000000,0.000000,-94919.993150
Potential Energy , -282.959 , Kinetic Energy , 143.449 , Total Energy , -139.51, Delta Energy , 9.80102e-05, Time , 19, Angular Momentum , 0.000000,0.000000,-94919.992721
