Potential Energy , -189.767 , Kinetic Energy , 87.1 , Total Energy , -102.667, Delta Energy , 0, Time , 0
Potential Energy , -189.763 , Kinetic Energy , 87.0961 , Total Energy , -102.667, Delta Energy , -3.38715e-05, Time , 2
Potential Energy , -189.751 , Kinetic Energy , 87.0848 , Total Energy , -102.667, Delta Energy , -0.000125796, Time , 4
Potential Energy , -189.733 , Kinetic Energy , 87.0668 , Total Energy , -102.667, Delta Energy , -0.000252168, Time , 6
Potential Energy , -189.709 , Kinetic Energy , 87.0429 , Total Energy , -102.666, Delta Energy , -0.000387068, Time , 8
Potential Energy , -189.681 , Kinetic Energy , 87.0144 , Total Energy , -102.666, Delta Energy , -0.000511363, Time , 10
Potential Energy , -189.648 , Kinetic Energy , 86.9819 , Total Energy , -102.666, Delta Energy , -0.000615384, Time , 12
Potential Energy , -189.612 , Kinetic Energy , 86.9462 , Total Energy , -102.666, Delta Energy , -0.000696965, Time , 14
Potential Energy , -189.574 , Kinetic Energy , 86.9077 , Total Energy , -102.666, Delta Energy , -0.000758188, Time , 16
Potential Energy , -189.533 , Kinetic Energy , 86.8667 , Total Energy , -102.666, Delta Energy , -0.000802792, Time , 18
Potential Energy , -189.489 , Kinetic Energy , 86.8233 , Total Energy , -102.666, Delta Energy , -0.000834702, Time , 20
Potential Energy , -189.443 , Kinetic Energy , 86.7775 , Total Energy , -102.666, Delta Energy , -0.000857403, Time , 22
Potential Energy , -189.395 , Kinetic Energy , 86.7293 , Total Energy , -102.666, Delta Energy , -0.000873788, Time , 24
Potential Energy , -189.344 , Kinetic Energy , 86.6785 , Total Energy , -102.666, Delta Energy , -0.000886191, Time , 26
Potential Energy , -189.291 , Kinetic Energy , 86.6251 , Total Energy , -102.666, Delta Energy , -0.000896463, Time , 28
Potential Energy , -189.235 , Kinetic Energy , 86.569 , Total Energy , -102.666, Delta Energy , -0.000906035, Time , 30
Potential Energy , -189.176 , Kinetic Energy , 86.5102 , Total Energy , -102.666, Delta Energy , -0.000915949, Time , 32
Potential Energy , -189.114 , Kinetic Energy , 86.4485 , Total Energy , -102.666, Delta Energy , -0.000926882, Time , 34
Potential Energy , -189.05 , Kinetic Energy , 86.384 , Total Energy , -102.666, Delta Energy , -0.00093917, Time , 36
Potential Energy , -188.983 , Kinetic Energy , 86.3167 , Total Energy , -102.666, Delta Energy , -0.00095285, Time , 38
Potential Energy , -188.913 , Kinetic Energy , 86.2467 , Total Energy , -102.666, Delta Energy , -0.00096773, Time , 40
Potential Energy , -188.84 , Kinetic Energy , 86.1742 , Total Energy , -102.666, Delta Energy , -0.000983465, Time , 42
Potential Energy , -188.765 , Kinetic Energy , 86.0991 , Total Energy , -102.666, Delta Energy , -0.000999638, Time , 44
Potential Energy , -188.688 , Kinetic Energy , 86.0218 , Total Energy , -102.666, Delta Energy , -0.00101583, Time , 46
Potential Energy , -188.608 , Kinetic Energy , 85.9422 , Total Energy , -102.666, Delta Energy , -0.00103165, Time , 48
Potential Energy , -188.526 , Kinetic Energy , 85.8607 , Total Energy , -102.666, Delta Energy , -0.00104678, Time , 50
Potential Energy , -188.443 , Kinetic Energy , 85.7774 , Total Energy , -102.666, Delta Energy , -0.00106095, Time , 52
Potential Energy , -188.358 , Kinetic Energy , 85.6925 , Total Energy , -102.666, Delta Energy , -0.00107395, Time , 54
Potential Energy , -188.272 , Kinetic Energy , 85.6061 , Total Energy , -102.666, Delta Energy , -0.00108555, Time , 56
Potential Energy , -188.184 , Kinetic Energy , 85.5184 , Total Energy , -102.666, Delta Energy , -0.0010955, Time , 58
Potential Energy , -188.095 , Kinetic Energy , 85.4296 , Total Energy , -102.666, Delta Energy , -0.00110348, Time , 60
Potential Energy , -188.006 , Kinetic Energy , 85.3399 , Total Energy , -102.666, Delta Energy , -0.00110898, Time , 62
Potential Energy , -187.915 , Kinetic Energy , 85.2494 , Total Energy , -102.666, Delta Energy , -0.0011113, Time , 64
Potential Energy , -187.824 , Kinetic Energy , 85.1582 , Total Energy , -102.666, Delta Energy , -0.00110939, Time , 66
Potential Energy , -187.732 , Kinetic Energy , 85.0665 , Total Energy , -102.666, Delta Energy , -0.00110179, Time , 68
Potential Energy , -187.64 , Kinetic Energy , 84.9745 , Total Energy , -102.666, Delta Energy , -0.00108645, Time , 70
Potential Energy , -187.548 , Kinetic Energy , 84.882 , Total Energy , -102.666, Delta Energy , -0.00106079, Time , 72
Potential Energy , -187.455 , Kinetic Energy , 84.7893 , Total Energy , -102.666, Delta Energy , -0.00102177, Time , 74
Potential Energy , -187.362 , Kinetic Energy , 84.6961 , Total Energy , -102.666, Delta Energy , -0.000966487, Time , 76
Potential Energy , -187.268 , Kinetic Energy , 84.6022 , Total Energy , -102.666, Delta Energy , -0.000893506, Time , 78
Potential Energy , -187.173 , Kinetic Energy , 84.5073 , Total Energy , -102.666, Delta Energy , -0.0008049, Time , 80
Potential Energy , -187.077 , Kinetic Energy , 84.411 , Total Energy , -102.666, Delta Energy , -0.000708514, Time , 82
Potential Energy , -186.979 , Kinetic Energy , 84.3126 , Total Energy , -102.666, Delta Energy , -0.000618561, Time , 84
Potential Energy , -186.878 , Kinetic Energy , 84.2118 , Total Energy , -102.666, Delta Energy , -0.000552455, Time , 86
Potential Energy , -186.774 , Kinetic Energy , 84.1081 , Total Energy , -102.666, Delta Energy , -0.000524125, Time , 88
Potential Energy , -186.668 , Kinetic Energy , 84.0014 , Total Energy , -102.666, Delta Energy , -0.000538045, Time , 90
Potential Energy , -186.558 , Kinetic Energy , 83.8919 , Total Energy , -102.666, Delta Energy , -0.00058871, Time , 92
Potential Energy , -186.446 , Kinetic Energy , 83.7799 , Total Energy , -102.666, Delta Energy , -0.000665238, Time , 94
Potential Energy , -186.332 , Kinetic Energy , 83.6658 , Total Energy , -102.666, Delta Energy , -0.000756473, Time , 96
Potential Energy , -186.216 , Kinetic Energy , 83.5502 , Total Energy , -102.666, Delta Energy , -0.000853394, Time , 98
Potential Energy , -186.099 , Kinetic Energy , 83.4335 , Total Energy , -102.666, Delta Energy , -0.00094928, Time , 100
Potential Energy , -185.982 , Kinetic Energy , 83.3163 , Total Energy , -102.666, Delta Energy , -0.00103935, Time , 102
Potential Energy , -185.865 , Kinetic Energy , 83.199 , Total Energy , -102.666, Delta Energy , -0.0011206, Time , 104
Potential Energy , -185.748 , Kinetic Energy , 83.082 , Total Energy , -102.666, Delta Energy , -0.00119165, Time , 106
Potential Energy , -185.631 , Kinetic Energy , 82.9655 , Total Energy , -102.666, Delta Energy , -0.00125241, Time , 108
Potential Energy , -185.515 , Kinetic Energy , 82.85 , Total Energy , -102.665, Delta Energy , -0.00130365, Time , 110
Potential Energy , -185.401 , Kinetic Energy , 82.7356 , Total Energy , -102.665, Delta Energy , -0.00134652, Time , 112
Potential Energy , -185.288 , Kinetic Energy , 82.6224 , Total Energy , -102.665, Delta Energy , -0.00138226, Time , 114
Potential Energy , -185.176 , Kinetic Energy , 82.5108 , Total Energy , -102.665, Delta Energy , -0.00141204, Time , 116
Potential Energy , -185.066 , Kinetic Energy , 82.4006 , Total Energy , -102.665, Delta Energy , -0.00143683, Time , 118
Potential Energy , -184.957 , Kinetic Energy , 82.2921 , Total Energy , -102.665, Delta Energy , -0.00145747, Time , 120
Potential Energy , -184.851 , Kinetic Energy , 82.1853 , Total Energy , -102.665, Delta Energy , -0.0014746, Time , 122
Potential Energy , -184.746 , Kinetic Energy , 82.0803 , Total Energy , -102.665, Delta Energy , -0.00148876, Time , 124
Potential Energy , -184.642 , Kinetic Energy , 81.9771 , Total Energy , -102.665, Delta Energy , -0.00150036, Time , 126
Potential Energy , -184.541 , Kinetic Energy , 81.8758 , Total Energy , -102.665, Delta Energy , -0.00150972, Time , 128
Potential Energy , -184.442 , Kinetic Energy , 81.7763 , Total Energy , -102.665, Delta Energy , -0.00151711, Time , 130
Potential Energy , -184.344 , Kinetic Energy , 81.6788 , Total Energy , -102.665, Delta Energy , -0.00152269, Time , 132
Potential Energy , -184.248 , Kinetic Energy , 81.5831 , Total Energy , -102.665, Delta Energy , -0.00152659, Time , 134
Potential Energy , -184.155 , Kinetic Energy , 81.4894 , Total Energy , -102.665, Delta Energy , -0.00152888, Time , 136
Potential Energy , -184.063 , Kinetic Energy , 81.3977 , Total Energy , -102.665, Delta Energy , -0.00152958, Time , 138
Potential Energy , -183.973 , Kinetic Energy , 81.3078 , Total Energy , -102.665, Delta Energy , -0.00152865, Time , 140
Potential Energy , -183.885 , Kinetic Energy , 81.22 , Total Energy , -102.665, Delta Energy , -0.00152597, Time , 142
Potential Energy , -183.799 , Kinetic Energy , 81.1341 , Total Energy , -102.665, Delta Energy , -0.00152135, Time , 144
Potential Energy , -183.715 , Kinetic Energy , 81.0502 , Total Energy , -102.665, Delta Energy , -0.00151446, Time , 146
Potential Energy , -183.634 , Kinetic Energy , 80.9683 , Total Energy , -102.665, Delta Energy , -0.00150481, Time , 148
Potential Energy , -183.554 , Kinetic Energy , 80.8884 , Total Energy , -102.665, Delta Energy , -0.00149163, Time , 150
Potential Energy , -183.476 , Kinetic Energy , 80.8105 , Total Energy , -102.665, Delta Energy , -0.00147379, Time , 152
Potential Energy , -183.4 , Kinetic Energy , 80.7346 , Total Energy , -102.665, Delta Energy , -0.00144964, Time , 154
Potential Energy , -183.326 , Kinetic Energy , 80.6607 , Total Energy , -102.665, Delta Energy , -0.00141687, Time , 156
Potential Energy , -183.254 , Kinetic Energy , 80.5887 , Total Energy , -102.665, Delta Energy , -0.00137251, Time , 158
Potential Energy , -183.184 , Kinetic Energy , 80.5185 , Total Energy , -102.665, Delta Energy , -0.00131321, Time , 160
Potential Energy , -183.116 , Kinetic Energy , 80.4499 , Total Energy , -102.666, Delta Energy , -0.00123623, Time , 162
Potential Energy , -183.048 , Kinetic Energy , 80.3826 , Total Energy , -102.666, Delta Energy , -0.00114153, Time , 164
Potential Energy , -182.982 , Kinetic Energy , 80.316 , Total Energy , -102.666, Delta Energy , -0.00103499, Time , 166
Potential Energy , -182.915 , Kinetic Energy , 80.2496 , Total Energy , -102.666, Delta Energy , -0.000931072, Time , 168
Potential Energy , -182.849 , Kinetic Energy , 80.1829 , Total Energy , -102.666, Delta Energy , -0.000851629, Time , 170
Potential Energy , -182.781 , Kinetic Energy , 80.1153 , Total Energy , -102.666, Delta Energy , -0.000817905, Time , 172
Potential Energy , -182.713 , Kinetic Energy , 80.0466 , Total Energy , -102.666, Delta Energy , -0.000839143, Time , 174
Potential Energy , -182.643 , Kinetic Energy , 79.977 , Total Energy , -102.666, Delta Energy , -0.000907084, Time , 176
Potential Energy , -182.573 , Kinetic Energy , 79.9069 , Total Energy , -102.666, Delta Energy , -0.00100173, Time , 178
Potential Energy , -182.502 , Kinetic Energy , 79.8368 , Total Energy , -102.666, Delta Energy , -0.00110263, Time , 180
Potential Energy , -182.433 , Kinetic Energy , 79.7671 , Total Energy , -102.666, Delta Energy , -0.00119641, Time , 182
