Potential Energy , -256.726 , Kinetic Energy , 87.1 , Total Energy , -169.626, Delta Energy , 0, Time , 0
Potential Energy , -256.726 , Kinetic Energy , 87.0998 , Total Energy , -169.626, Delta Energy , -1.29502e-07, Time , 0.5
Potential Energy , -256.726 , Kinetic Energy , 87.0991 , Total Energy , -169.626, Delta Energy , -5.15615e-07, Time , 1
Potential Energy , -256.724 , Kinetic Energy , 87.0979 , Total Energy , -169.626, Delta Energy , -1.15126e-06, Time , 1.5
Potential Energy , -256.723 , Kinetic Energy , 87.0962 , Total Energy , -169.626, Delta Energy , -2.02493e-06, Time , 2
Potential Energy , -256.721 , Kinetic Energy , 87.0941 , Total Energy , -169.626, Delta Energy , -3.12117e-06, Time , 2.5
Potential Energy , -256.718 , Kinetic Energy , 87.0916 , Total Energy , -169.626, Delta Energy , -4.4211e-06, Time , 3
Potential Energy , -256.715 , Kinetic Energy , 87.0886 , Total Energy , -169.626, Delta Energy , -5.90314e-06, Time , 3.5
Potential Energy , -256.712 , Kinetic Energy , 87.0852 , Total Energy , -169.626, Delta Energy , -7.54371e-06, Time , 4
Potential Energy , -256.708 , Kinetic Energy , 87.0814 , Total Energy , -169.626, Delta Energy , -9.31799e-06, Time , 4.5
Potential Energy , -256.704 , Kinetic Energy , 87.0772 , Total Energy , -169.626, Delta Energy , -1.12007e-05, Time , 5
Potential Energy , -256.699 , Kinetic Energy , 87.0726 , Total Energy , -169.626, Delta Energy , -1.31667e-05, Time , 5.5
Potential Energy , -256.694 , Kinetic Energy , 87.0677 , Total Energy , -169.626, Delta Energy , -1.51916e-05, Time , 6
Potential Energy , -256.689 , Kinetic Energy , 87.0624 , Total Energy , -169.626, Delta Energy , -1.72525e-05, Time , 6.5
Potential Energy , -256.683 , Kinetic Energy , 87.0568 , Total Energy , -169.626, Delta Energy , -1.93279e-05, Time , 7
Potential Energy , -256.677 , Kinetic Energy , 87.0508 , Total Energy , -169.626, Delta Energy , -2.13986e-05, Time , 7.5
Potential Energy , -256.671 , Kinetic Energy , 87.0446 , Total Energy , -169.626, Delta Energy , -2.34474e-05, Time , 8
Potential Energy , -256.665 , Kinetic Energy , 87.0381 , Total Energy , -169.626, Delta Energy , -2.54595e-05, Time , 8.5
Potential Energy , -256.658 , Kinetic Energy , 87.0313 , Total Energy , -169.626, Delta Energy , -2.74222e-05, Time , 9
Potential Energy , -256.651 , Kinetic Energy , 87.0242 , Total Energy , -169.626, Delta Energy , -2.93252e-05, Time , 9.5
Potential Energy , -256.643 , Kinetic Energy , 87.0169 , Total Energy , -169.626, Delta Energy , -3.11603e-05, Time , 10
Potential Energy , -256.636 , Kinetic Energy , 87.0094 , Total Energy , -169.626, Delta Energy , -3.29213e-05, Time , 10.5
Potential Energy , -256.628 , Kinetic Energy , 87.0017 , Total Energy , -169.626, Delta Energy , -3.46036e-05, Time , 11
Potential Energy , -256.62 , Kinetic Energy , 86.9938 , Total Energy , -169.626, Delta Energy , -3.62043e-05, Time , 11.5
Potential Energy , -256.612 , Kinetic Energy , 86.9857 , Total Energy , -169.626, Delta Energy , -3.7722e-05, Time , 12
Potential Energy , -256.604 , Kinetic Energy , 86.9774 , Total Energy , -169.626, Delta Energy , -3.91563e-05, Time , 12.5
Potential Energy , -256.595 , Kinetic Energy , 86.9689 , Total Energy , -169.626, Delta Energy , -4.0508e-05, Time , 13
Potential Energy , -256.587 , Kinetic Energy , 86.9602 , Total Energy , -169.626, Delta Energy , -4.17784e-05, Time , 13.5
Potential Energy , -256.578 , Kinetic Energy , 86.9514 , Total Energy , -169.626, Delta Energy , -4.29698e-05, Time , 14
Potential Energy , -256.569 , Kinetic Energy , 86.9425 , Total Energy , -169.626, Delta Energy , -4.40849e-05, Time , 14.5
Potential Energy , -256.56 , Kinetic Energy , 86.9334 , Total Energy , -169.626, Delta Energy , -4.51268e-05, Time , 15
Potential Energy , -256.551 , Kinetic Energy , 86.9241 , Total Energy , -169.626, Delta Energy , -4.60987e-05, Time , 15.5
Potential Energy , -256.541 , Kinetic Energy , 86.9147 , Total Energy , -169.626, Delta Energy , -4.70042e-05, Time , 16
Potential Energy , -256.532 , Kinetic Energy , 86.9052 , Total Energy , -169.626, Delta Energy , -4.7847e-05, Time , 16.5
Potential Energy , -256.522 , Kinetic Energy , 86.8956 , Total Energy , -169.626, Delta Energy , -4.86308e-05, Time , 17
Potential Energy , -256.512 , Kinetic Energy , 86.8858 , Total Energy , -169.626, Delta Energy , -4.93593e-05, Time , 17.5
Potential Energy , -256.502 , Kinetic Energy , 86.8759 , Total Energy , -169.626, Delta Energy , -5.00362e-05, Time , 18
Potential Energy , -256.492 , Kinetic Energy , 86.8658 , Total Energy , -169.626, Delta Energy , -5.06649e-05, Time , 18.5
Potential Energy , -256.482 , Kinetic Energy , 86.8557 , Total Energy , -169.626, Delta Energy , -5.12492e-05, Time , 19
Potential Energy , -256.472 , Kinetic Energy , 86.8454 , Total Energy , -169.626, Delta Energy , -5.17922e-05, Time , 19.5
Potential Energy , -256.461 , Kinetic Energy , 86.835 , Total Energy , -169.626, Delta Energy , -5.22973e-05, Time , 20
Potential Energy , -256.451 , Kinetic Energy , 86.8245 , Total Energy , -169.626, Delta Energy , -5.27676e-05, Time , 20.5
Potential Energy , -256.44 , Kinetic Energy , 86.8139 , Total Energy , -169.626, Delta Energy , -5.32061e-05, Time , 21
Potential Energy , -256.43 , Kinetic Energy , 86.8031 , Total Energy , -169.626, Delta Energy , -5.36157e-05, Time , 21.5
Potential Energy , -256.419 , Kinetic Energy , 86.7922 , Total Energy , -169.626, Delta Energy , -5.39991e-05, Time , 22
Potential Energy , -256.408 , Kinetic Energy , 86.7812 , Total Energy , -169.626, Delta Energy , -5.4359e-05, Time , 22.5
Potential Energy , -256.397 , Kinetic Energy , 86.7701 , Total Energy , -169.626, Delta Energy , -5.46977e-05, Time , 23
Potential Energy , -256.385 , Kinetic Energy , 86.7589 , Total Energy , -169.626, Delta Energy , -5.50177e-05, Time , 23.5
Potential Energy , -256.374 , Kinetic Energy , 86.7475 , Total Energy , -169.626, Delta Energy , -5.53212e-05, Time , 24
Potential Energy , -256.362 , Kinetic Energy , 86.7361 , Total Energy , -169.626, Delta Energy , -5.56103e-05, Time , 24.5
Potential Energy , -256.351 , Kinetic Energy , 86.7245 , Total Energy , -169.626, Delta Energy , -5.5887e-05, Time , 25
Potential Energy , -256.339 , Kinetic Energy , 86.7127 , Total Energy , -169.626, Delta Energy , -5.61532e-05, Time , 25.5
Potential Energy , -256.327 , Kinetic Energy , 86.7009 , Total Energy , -169.626, Delta Energy , -5.64108e-05, Time , 26
Potential Energy , -256.315 , Kinetic Energy , 86.6889 , Total Energy , -169.626, Delta Energy , -5.66614e-05, Time , 26.5
Potential Energy , -256.303 , Kinetic Energy , 86.6768 , Total Energy , -169.626, Delta Energy , -5.69065e-05, Time , 27
Potential Energy , -256.291 , Kinetic Energy , 86.6646 , Total Energy , -169.626, Delta Energy , -5.71478e-05, Time , 27.5
Potential Energy , -256.279 , Kinetic Energy , 86.6523 , Total Energy , -169.626, Delta Energy , -5.73864e-05, Time , 28
Potential Energy , -256.266 , Kinetic Energy , 86.6398 , Total Energy , -169.626, Delta Energy , -5.76239e-05, Time , 28.5
Potential Energy , -256.254 , Kinetic Energy , 86.6272 , Total Energy , -169.626, Delta Energy , -5.78612e-05, Time , 29
