Potential Energy , -500 , Kinetic Energy , 225 , Total Energy , -275
Potential Energy , -500 , Kinetic Energy , 225.001 , Total Energy , -274.999
Potential Energy , -500.002 , Kinetic Energy , 225.016 , Total Energy , -274.986
Potential Energy , -500.006 , Kinetic Energy , 225.048 , Total Energy , -274.958
Potential Energy , -500.014 , Kinetic Energy , 225.084 , Total Energy , -274.93
Potential Energy , -500.025 , Kinetic Energy , 225.123 , Total Energy , -274.902
Potential Energy , -500.039 , Kinetic Energy , 225.166 , Total Energy , -274.873
Potential Energy , -500.056 , Kinetic Energy , 225.211 , Total Energy , -274.845
Potential Energy , -500.076 , Kinetic Energy , 225.259 , Total Energy , -274.817
Potential Energy , -500.1 , Kinetic Energy , 225.311 , Total Energy , -274.789
Potential Energy , -500.126 , Kinetic Energy , 225.365 , Total Energy , -274.761
Potential Energy , -500.156 , Kinetic Energy , 225.423 , Total Energy , -274.733
Potential Energy , -500.188 , Kinetic Energy , 225.484 , Total Energy , -274.704
Potential Energy , -500.224 , Kinetic Energy , 225.548 , Total Energy , -274.676
Potential Energy , -500.263 , Kinetic Energy , 225.615 , Total Energy , -274.648
Potential Energy , -500.304 , Kinetic Energy , 225.685 , Total Energy , -274.62
Potential Energy , -500.349 , Kinetic Energy , 225.758 , Total Energy , -274.591
Potential Energy , -500.397 , Kinetic Energy , 225.834 , Total Energy , -274.563
Potential Energy , -500.448 , Kinetic Energy , 225.913 , Total Energy , -274.535
Potential Energy , -500.502 , Kinetic Energy , 225.996 , Total Energy , -274.507
Potential Energy , -500.56 , Kinetic Energy , 226.081 , Total Energy , -274.478
Potential Energy , -500.62 , Kinetic Energy , 226.17 , Total Energy , -274.45
Potential Energy , -500.683 , Kinetic Energy , 226.261 , Total Energy , -274.422
Potential Energy , -500.749 , Kinetic Energy , 226.356 , Total Energy , -274.393
Potential Energy , -500.819 , Kinetic Energy , 226.454 , Total Energy , -274.365
Potential Energy , -500.891 , Kinetic Energy , 226.554 , Total Energy , -274.336
Potential Energy , -500.966 , Kinetic Energy , 226.658 , Total Energy , -274.308
Potential Energy , -501.045 , Kinetic Energy , 226.765 , Total Energy , -274.28
Potential Energy , -501.126 , Kinetic Energy , 226.875 , Total Energy , -274.251
Potential Energy , -501.21 , Kinetic Energy , 226.988 , Total Energy , -274.223
Potential Energy , -501.298 , Kinetic Energy , 227.104 , Total Energy , -274.194
Potential Energy , -501.388 , Kinetic Energy , 227.223 , Total Energy , -274.165
Potential Energy , -501.482 , Kinetic Energy , 227.345 , Total Energy , -274.137
Potential Energy , -501.578 , Kinetic Energy , 227.47 , Total Energy , -274.108
Potential Energy , -501.677 , Kinetic Energy , 227.598 , Total Energy , -274.08
Potential Energy , -501.78 , Kinetic Energy , 227.729 , Total Energy , -274.051
Potential Energy , -501.885 , Kinetic Energy , 227.863 , Total Energy , -274.022
Potential Energy , -501.993 , Kinetic Energy , 228 , Total Energy , -273.994
Potential Energy , -502.105 , Kinetic Energy , 228.14 , Total Energy , -273.965
Potential Energy , -502.219 , Kinetic Energy , 228.283 , Total Energy , -273.936
Potential Energy , -502.336 , Kinetic Energy , 228.429 , Total Energy , -273.907
Potential Energy , -502.456 , Kinetic Energy , 228.578 , Total Energy , -273.878
Potential Energy , -502.579 , Kinetic Energy , 228.73 , Total Energy , -273.849
Potential Energy , -502.705 , Kinetic Energy , 228.885 , Total Energy , -273.82
Potential Energy , -502.834 , Kinetic Energy , 229.043 , Total Energy , -273.791
Potential Energy , -502.966 , Kinetic Energy , 229.204 , Total Energy , -273.762
Potential Energy , -503.101 , Kinetic Energy , 229.367 , Total Energy , -273.733
Potential Energy , -503.239 , Kinetic Energy , 229.534 , Total Energy , -273.704
Potential Energy , -503.379 , Kinetic Energy , 229.704 , Total Energy , -273.675
Potential Energy , -503.523 , Kinetic Energy , 229.877 , Total Energy , -273.646
Potential Energy , -503.669 , Kinetic Energy , 230.052 , Total Energy , -273.617
Potential Energy , -503.818 , Kinetic Energy , 230.231 , Total Energy , -273.588
Potential Energy , -503.971 , Kinetic Energy , 230.412 , Total Energy , -273.558
Potential Energy , -504.126 , Kinetic Energy , 230.597 , Total Energy , -273.529
Potential Energy , -504.284 , Kinetic Energy , 230.784 , Total Energy , -273.5
Potential Energy , -504.445 , Kinetic Energy , 230.975 , Total Energy , -273.47
Potential Energy , -504.608 , Kinetic Energy , 231.168 , Total Energy , -273.441
Potential Energy , -504.775 , Kinetic Energy , 231.364 , Total Energy , -273.411
Potential Energy , -504.944 , Kinetic Energy , 231.563 , Total Energy , -273.382
Potential Energy , -505.117 , Kinetic Energy , 231.765 , Total Energy , -273.352
Potential Energy , -505.292 , Kinetic Energy , 231.969 , Total Energy , -273.322
Potential Energy , -505.47 , Kinetic Energy , 232.177 , Total Energy , -273.292
Potential Energy , -505.65 , Kinetic Energy , 232.388 , Total Energy , -273.263
Potential Energy , -505.834 , Kinetic Energy , 232.601 , Total Energy , -273.233
Potential Energy , -506.02 , Kinetic Energy , 232.817 , Total Energy , -273.203
Potential Energy , -506.209 , Kinetic Energy , 233.036 , Total Energy , -273.173
Potential Energy , -506.401 , Kinetic Energy , 233.258 , Total Energy , -273.143
Potential Energy , -506.596 , Kinetic Energy , 233.483 , Total Energy , -273.113
Potential Energy , -506.794 , Kinetic Energy , 233.711 , Total Energy , -273.083
Potential Energy , -506.994 , Kinetic Energy , 233.941 , Total Energy , -273.053
Potential Energy , -507.197 , Kinetic Energy , 234.174 , Total Energy , -273.022
Potential Energy , -507.403 , Kinetic Energy , 234.41 , Total Energy , -272.992
Potential Energy , -507.611 , Kinetic Energy , 234.649 , Total Energy , -272.962
Potential Energy , -507.822 , Kinetic Energy , 234.891 , Total Energy , -272.931
Potential Energy , -508.036 , Kinetic Energy , 235.136 , Total Energy , -272.901
Potential Energy , -508.253 , Kinetic Energy , 235.383 , Total Energy , -272.87
Potential Energy , -508.473 , Kinetic Energy , 235.633 , Total Energy , -272.84
Potential Energy , -508.695 , Kinetic Energy , 235.886 , Total Energy , -272.809
Potential Energy , -508.92 , Kinetic Energy , 236.141 , Total Energy , -272.778
Potential Energy , -509.147 , Kinetic Energy , 236.4 , Total Energy , -272.748
Potential Energy , -509.377 , Kinetic Energy , 236.661 , Total Energy , -272.717
Potential Energy , -509.61 , Kinetic Energy , 236.924 , Total Energy , -272.686
Potential Energy , -509.846 , Kinetic Energy , 237.191 , Total Energy , -272.655
Potential Energy , -510.084 , Kinetic Energy , 237.46 , Total Energy , -272.624
Potential Energy , -510.325 , Kinetic Energy , 237.732 , Total Energy , -272.592
Potential Energy , -510.568 , Kinetic Energy , 238.007 , Total Energy , -272.561
Potential Energy , -510.814 , Kinetic Energy , 238.284 , Total Energy , -272.53
Potential Energy , -511.063 , Kinetic Energy , 238.564 , Total Energy , -272.499
Potential Energy , -511.314 , Kinetic Energy , 238.847 , Total Energy , -272.467
Potential Energy , -511.568 , Kinetic Energy , 239.132 , Total Energy , -272.436
Potential Energy , -511.824 , Kinetic Energy , 239.42 , Total Energy , -272.404
Potential Energy , -512.083 , Kinetic Energy , 239.711 , Total Energy , -272.372
Potential Energy , -512.345 , Kinetic Energy , 240.004 , Total Energy , -272.34
Potential Energy , -512.609 , Kinetic Energy , 240.3 , Total Energy , -272.309
Potential Energy , -512.875 , Kinetic Energy , 240.599 , Total Energy , -272.277
Potential Energy , -513.145 , Kinetic Energy , 240.9 , Total Energy , -272.245
Potential Energy , -513.416 , Kinetic Energy , 241.204 , Total Energy , -272.213
Potential Energy , -513.69 , Kinetic Energy , 241.51 , Total Energy , -272.18
Potential Energy , -513.967 , Kinetic Energy , 241.819 , Total Energy , -272.148
Potential Energy , -514.246 , Kinetic Energy , 242.13 , Total Energy , -272.116
